,Card Identifier,Transaction Date,Transaction Time,Risk Assessment,Payment Method,Transaction Value,Merchant Location,Card Present Status,Chip Usage,Cross-border Transaction (Yes/No),Acquiring Institution ID,Merchant Identifier,Merchant Category Code (MCC),Fraud Indicator (Yes/No)
11073,card 2134,2023-01-12,1900-01-01 19:56:25,1542.0,Subscription,56.9,USA,CNP,No,No,acquirer 2,merchant 148,5331.0,No
19347,card 2134,2023-01-12,1900-01-01 23:25:53,172.0,Online,0.0,USA,CNP,No,No,acquirer 1,merchant 255,5999.0,No
51436,card 2134,2023-01-12,1900-01-01 14:21:35,417.0,Online,32.84,USA,CNP,No,No,acquirer 16,merchant 92,5999.0,No
67833,card 2134,2023-01-12,1900-01-01 14:21:31,132.0,Online,0.0,USA,CNP,No,No,acquirer 16,merchant 92,5999.0,No
98031,card 2134,2023-01-16,1900-01-01 18:30:28,977.0,Subscription,5.0,USA,CNP,No,No,acquirer 2,merchant 240,5719.0,No
93173,card 2134,2023-01-17,1900-01-01 17:16:01,1627.0,Subscription,23.8,GBR,CNP,No,Yes,acquirer 204,merchant 53,5815.0,No
51325,card 2134,2023-01-19,1900-01-01 18:14:58,1517.0,Online,54.0,USA,CNP,No,No,acquirer 374,merchant 69,7922.0,No
75922,card 2134,2023-01-20,1900-01-01 13:46:02,1357.0,Subscription,85.0,USA,CNP,No,No,acquirer 2,merchant 385,5411.0,No
96360,card 2134,2023-01-26,1900-01-01 12:34:46,1102.0,Chip,146.51,USA,CP,Yes,No,acquirer 21,merchant 1,5812.0,No
62474,card 2134,2023-02-02,1900-01-01 14:26:27,192.0,Online,15.0,USA,CNP,No,No,acquirer 16,merchant 385,5411.0,No
49395,card 2134,2023-02-06,1900-01-01 08:30:29,692.0,Subscription,19.63,USA,CNP,No,No,acquirer 16,merchant 92,5999.0,No
69374,card 2134,2023-02-08,1900-01-01 13:58:22,327.0,Online,81.02,USA,CNP,No,No,acquirer 22,merchant 95,5399.0,No
4550,card 2134,2023-02-09,1900-01-01 17:17:08,732.0,Subscription,24.99,USA,CNP,No,No,acquirer 120,merchant 32,5968.0,No
13815,card 2134,2023-02-09,1900-01-01 19:52:45,482.0,Online,37.79,USA,CNP,No,No,acquirer 2,merchant 1263,5932.0,No
87852,card 2134,2023-02-11,1900-01-01 10:47:00,682.0,Chip,11.71,USA,CP,Yes,No,acquirer 266,merchant 2559,5411.0,No
51648,card 2134,2023-02-15,1900-01-01 14:11:20,2197.0,Subscription,94.98,USA,CNP,No,No,acquirer 6,merchant 5,5816.0,No
72692,card 2134,2023-02-17,1900-01-01 20:40:57,1952.0,Subscription,27.99,USA,CNP,No,No,acquirer 120,merchant 32,5968.0,No
32781,card 2134,2023-02-19,1900-01-01 17:28:39,737.0,Subscription,35.31,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
91396,card 2134,2023-02-20,1900-01-01 19:20:16,662.0,Subscription,9.99,USA,CNP,No,No,acquirer 2,merchant 385,5411.0,No
46957,card 2134,2023-02-24,1900-01-01 11:09:43,417.0,Online,2.0,USA,CNP,No,No,acquirer 22,merchant 62,7399.0,No
49523,card 2134,2023-02-28,1900-01-01 13:52:34,677.0,Chip,9.36,USA,CP,Yes,No,acquirer 113,merchant 142,5411.0,No
73269,card 2134,2023-03-01,1900-01-01 16:01:20,362.0,Subscription,13.7,USA,CNP,No,No,acquirer 16,merchant 95,5399.0,No
94376,card 2134,2023-03-01,1900-01-01 03:28:38,937.0,Online,79.88,USA,CNP,No,No,acquirer 279,merchant 42,7298.0,No
5950,card 2134,2023-03-07,1900-01-01 09:18:00,597.0,Chip,44.33,USA,CP,Yes,No,acquirer 24,merchant 287,5411.0,No
4628,card 2134,2023-03-10,1900-01-01 08:58:05,307.0,Online,0.0,USA,CNP,No,No,acquirer 6,merchant 414,4814.0,No
57696,card 2134,2023-03-11,1900-01-01 05:29:51,512.0,Subscription,26.65,USA,CNP,No,No,acquirer 1,merchant 255,5999.0,No
11432,card 2134,2023-03-14,1900-01-01 14:06:05,142.0,Online,0.0,USA,CNP,No,No,acquirer 49,merchant 44,5969.0,No
64413,card 2134,2023-03-15,1900-01-01 13:01:25,1547.0,Subscription,41.75,USA,CNP,No,No,acquirer 6,merchant 96,5399.0,No
4210,card 2134,2023-03-16,1900-01-01 12:51:00,562.0,Chip,46.78,USA,CP,Yes,No,acquirer 24,merchant 673,5411.0,No
97226,card 2134,2023-03-20,1900-01-01 03:40:02,4037.0,Online,56.35,ITA,CNP,No,Yes,acquirer 82,merchant 40,5734.0,Yes
24550,card 2138,2023-04-23,1900-01-01 03:21:28,4507.0,Subscription,11.28,GBR,CNP,No,Yes,acquirer 463,merchant 141,5967.0,Yes
49744,card 2195,2023-03-25,1900-01-01 17:11:29,202.0,Online,14.98,USA,CNP,No,No,acquirer 2,merchant 210,5812.0,No
88799,card 2195,2023-03-27,1900-01-01 09:48:26,177.0,Online,0.0,USA,CNP,No,No,acquirer 16,merchant 110,5999.0,No
73296,card 2195,2023-03-30,1900-01-01 17:04:32,502.0,Online,14.54,USA,CNP,No,No,acquirer 2,merchant 210,5812.0,No
40372,card 2195,2023-03-31,1900-01-01 09:19:36,492.0,Chip,1.0,USA,CP,Yes,No,acquirer 71,merchant 74,5541.0,No
93742,card 2195,2023-03-31,1900-01-01 18:29:57,587.0,Online,24.95,USA,CNP,No,No,acquirer 2,merchant 210,5812.0,No
39164,card 2195,2023-04-02,1900-01-01 11:34:04,1152.0,Chip,145.66,USA,CP,Yes,No,acquirer 41,merchant 1343,742.0,No
15850,card 2195,2023-04-05,1900-01-01 18:28:45,222.0,Online,10.88,USA,CNP,No,No,acquirer 2,merchant 210,5812.0,No
44210,card 2195,2023-04-08,1900-01-01 09:51:59,357.0,Chip,1.0,USA,CP,Yes,No,acquirer 71,merchant 74,5541.0,No
31141,card 2195,2023-04-11,1900-01-01 11:50:48,427.0,Online,60.0,USA,CNP,No,No,acquirer 16,merchant 385,5411.0,No
26445,card 2195,2023-04-19,1900-01-01 09:45:00,322.0,Paypass - Contactless,12.17,USA,CP,Yes,No,acquirer 25,merchant 4,5814.0,No
37041,card 2195,2023-04-24,1900-01-01 13:34:49,362.0,Online,57.99,USA,CNP,No,No,acquirer 16,merchant 385,5411.0,No
89243,card 2195,2023-04-24,1900-01-01 09:13:00,347.0,Chip,11.73,USA,CP,Yes,No,acquirer 25,merchant 4,5814.0,No
44160,card 2195,2023-04-25,1900-01-01 18:40:48,397.0,Online,18.52,USA,CNP,No,No,acquirer 2,merchant 210,5812.0,No
68532,card 2195,2023-04-26,1900-01-01 15:04:00,307.0,Paypass - Contactless,16.09,USA,CP,Yes,No,acquirer 25,merchant 4,5814.0,No
70142,card 2195,2023-04-27,1900-01-01 13:30:00,362.0,Paypass - Contactless,11.23,USA,CP,Yes,No,acquirer 25,merchant 4,5814.0,No
27301,card 2195,2023-05-02,1900-01-01 08:22:53,292.0,Chip,21.91,USA,CP,Yes,No,acquirer 6,merchant 109,5814.0,No
34225,card 2195,2023-05-02,,182.0,Online,0.0,USA,CNP,No,No,acquirer 47,merchant 44,5969.0,No
75516,card 2195,2023-05-04,1900-01-01 19:26:59,342.0,Online,80.0,USA,CNP,No,No,acquirer 1,merchant 11,5411.0,No
95507,card 2195,2023-05-08,1900-01-01 08:51:45,232.0,Chip,1.0,USA,CP,Yes,No,acquirer 71,merchant 74,5541.0,No
96620,card 2195,2023-05-22,1900-01-01 19:59:08,567.0,Subscription,27.54,USA,CNP,No,No,acquirer 1,merchant 255,5999.0,No
30277,card 2195,2023-05-28,1900-01-01 07:25:07,237.0,Chip,8.99,USA,CP,Yes,No,acquirer 114,merchant 376,5541.0,No
15851,card 2195,2023-06-04,1900-01-01 13:33:08,417.0,Online,22.53,USA,CNP,No,No,acquirer 2,merchant 210,5812.0,No
87208,card 2195,2023-06-07,1900-01-01 08:01:00,177.0,Chip,12.85,USA,CP,Yes,No,acquirer 25,merchant 4,5814.0,No
70405,card 2195,2023-06-10,1900-01-01 22:14:20,702.0,Online,90.0,USA,CNP,No,No,acquirer 1,merchant 11,5411.0,No
71083,card 2195,2023-06-12,1900-01-01 20:07:56,507.0,Online,24.52,USA,CNP,No,No,acquirer 2,merchant 210,5812.0,No
84565,card 2195,2023-06-14,1900-01-01 20:31:19,337.0,Online,18.35,USA,CNP,No,No,acquirer 2,merchant 210,5812.0,No
29127,card 2195,2023-06-16,,172.0,Online,0.0,USA,CNP,No,No,acquirer 47,merchant 640,5193.0,No
96270,card 2195,2023-06-19,1900-01-01 05:12:19,547.0,Subscription,21.25,USA,CNP,No,No,acquirer 16,merchant 290,6300.0,No
26433,card 2195,2023-06-21,1900-01-01 19:44:46,387.0,Online,75.0,USA,CNP,No,No,acquirer 6,merchant 699,3509.0,Yes
88108,card 2195,2023-06-22,1900-01-01 16:14:51,742.0,Chip,20.0,USA,CP,Yes,No,acquirer 6,merchant 974,3715.0,No
55586,card 2195,2023-06-23,1900-01-01 07:04:44,722.0,Chip,42.28,USA,CP,Yes,No,acquirer 18,merchant 39,5411.0,No
78816,card 2195,2023-06-23,1900-01-01 21:32:00,707.0,Paypass - Contactless,16.93,USA,CP,Yes,No,acquirer 306,merchant 434,5541.0,No
37761,card 2260,2023-04-20,1900-01-01 23:01:42,107.0,Online,0.0,USA,CNP,No,No,acquirer 16,merchant 493,5065.0,No
41359,card 2260,2023-08-08,1900-01-01 11:41:30,2962.0,Online,12.05,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,No
9102,card 2260,2023-08-17,1900-01-01 13:34:16,642.0,Chip,1.0,USA,CP,Yes,No,acquirer 621,merchant 34,7523.0,No
27718,card 2260,2023-08-23,1900-01-01 14:48:39,2022.0,Postal,574.87,USA,CNP,No,No,acquirer 22,merchant 55,7230.0,No
53961,card 2260,2023-08-30,1900-01-01 12:34:40,2072.0,Online,21.03,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,Yes
95597,card 2260,2023-09-16,1900-01-01 03:59:40,2167.0,Online,53.27,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
26621,card 2260,2023-09-29,1900-01-01 20:59:59,1802.0,Online,33.25,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
79854,card 2260,2023-10-04,1900-01-01 12:23:05,1567.0,Online,6.35,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
92854,card 2260,2023-10-07,1900-01-01 13:57:57,1777.0,Online,12.98,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
77550,card 2260,2023-10-10,1900-01-01 18:47:06,2052.0,Online,7.29,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
93966,card 2260,2023-10-10,1900-01-01 10:25:10,1762.0,Online,10.44,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
45662,card 2260,2023-10-13,1900-01-01 10:27:25,1862.0,Online,13.26,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,Yes
77132,card 2260,2023-10-14,1900-01-01 20:26:16,1462.0,Online,15.19,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,Yes
70110,card 2260,2023-10-17,1900-01-01 18:08:18,2742.0,Online,37.12,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,Yes
24691,card 2260,2023-10-21,1900-01-01 14:21:30,2297.0,Online,24.84,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
65503,card 2260,2023-11-12,1900-01-01 17:00:00,2677.0,Online,30.97,NLD,CNP,No,Yes,acquirer 11,merchant 9,5812.0,No
24848,card 2260,2023-11-18,1900-01-01 18:19:00,2932.0,Online,56.31,NLD,CNP,No,Yes,acquirer 11,merchant 9,5812.0,No
28528,card 2260,2023-12-09,1900-01-01 07:53:19,1562.0,Online,40.11,USA,CNP,No,No,acquirer 24,merchant 17,4816.0,No
4631,card 2260,2023-12-10,1900-01-01 12:01:50,777.0,Online,30.93,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,No
14797,card 2260,2023-12-10,1900-01-01 12:12:25,872.0,Online,28.83,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,No
48544,card 2260,2023-12-10,1900-01-01 16:02:00,732.0,Online,42.91,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,No
80919,card 2260,2023-12-10,1900-01-01 19:42:05,832.0,Online,22.23,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,No
89468,card 2267,2023-04-15,1900-01-01 09:44:00,647.0,Chip,34.21,USA,CP,Yes,No,acquirer 25,merchant 4,5814.0,No
65548,card 2267,2023-04-17,1900-01-01 08:41:00,1222.0,Chip,10.31,USA,CP,Yes,No,acquirer 49,merchant 347,5814.0,No
42455,card 2267,2023-04-19,1900-01-01 11:17:16,1117.0,Online,26.32,USA,CNP,No,No,acquirer 207,merchant 9,5812.0,No
54636,card 2267,2023-04-20,1900-01-01 06:50:28,1197.0,Online,30.58,USA,CNP,No,No,acquirer 207,merchant 9,5812.0,No
90514,card 2267,2023-04-25,1900-01-01 09:52:30,932.0,Online,1.1,USA,CNP,No,No,acquirer 26,merchant 985,9402.0,No
27949,card 2267,2023-04-27,1900-01-01 07:52:22,2777.0,Online,63.61,USA,CNP,No,No,acquirer 255,merchant 1,5812.0,No
81291,card 2267,2023-04-28,1900-01-01 20:22:06,947.0,Online,23.68,USA,CNP,No,No,acquirer 207,merchant 9,5812.0,No
98202,card 2267,2023-05-01,1900-01-01 15:24:25,952.0,Online,68.21,USA,CNP,No,No,acquirer 6,merchant 2118,5411.0,No
79024,card 2267,2023-05-03,1900-01-01 07:19:00,3542.0,Online,25.0,USA,CNP,No,No,acquirer 49,merchant 401,5814.0,No
99813,card 2267,2023-05-04,1900-01-01 16:53:08,972.0,Online,41.43,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
88523,card 2267,2023-05-05,1900-01-01 11:31:06,712.0,Online,22.57,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
8089,card 2267,2023-05-06,1900-01-01 18:35:43,3477.0,Unknown,30.62,USA,CNP,No,No,acquirer 18,merchant 204,5814.0,No
4655,card 2267,2023-05-07,1900-01-01 17:28:37,1502.0,Chip,197.91,USA,CP,Yes,No,acquirer 6,merchant 185,5411.0,No
22192,card 2267,2023-05-11,1900-01-01 08:19:09,822.0,Online,20.0,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
55388,card 2267,2023-05-18,1900-01-01 07:43:14,607.0,Paypass - Contactless,29.81,USA,CP,Yes,No,acquirer 39,merchant 7,5499.0,No
64972,card 2267,2023-05-21,1900-01-01 16:55:29,172.0,Unknown,0.0,USA,CNP,No,No,acquirer 18,merchant 8,7011.0,No
57262,card 2267,2023-05-25,1900-01-01 19:44:54,882.0,Paypass - Contactless,245.0,USA,CP,Yes,No,acquirer 799,merchant 92,5999.0,No
57514,card 2267,2023-05-25,1900-01-01 07:29:00,3237.0,Online,25.0,USA,CNP,No,No,acquirer 49,merchant 401,5814.0,No
39043,card 2267,2023-06-01,1900-01-01 07:12:00,3672.0,Online,25.0,USA,CNP,No,No,acquirer 49,merchant 401,5814.0,No
72683,card 2267,2023-06-08,1900-01-01 08:35:17,1747.0,Online,38.99,USA,CNP,No,No,acquirer 22,merchant 40,5734.0,No
29946,card 2267,2023-06-11,1900-01-01 15:37:00,3757.0,Online,15.0,USA,CNP,No,No,acquirer 49,merchant 401,5814.0,No
26886,card 2267,2023-06-14,1900-01-01 12:33:15,32.0,Online,0.0,USA,CNP,No,No,acquirer 218,merchant 138,5995.0,No
88035,card 2267,2023-06-18,1900-01-01 10:39:40,1072.0,Online,110.3,USA,CNP,No,No,acquirer 6,merchant 2118,5411.0,No
36886,card 2267,2023-06-20,1900-01-01 22:27:38,1522.0,Online,39.92,USA,CNP,No,No,acquirer 1,merchant 4,5814.0,No
87140,card 2267,2023-06-21,1900-01-01 09:27:55,882.0,Online,210.0,USA,CNP,No,No,acquirer 29,merchant 52,7999.0,No
21923,card 2267,2023-06-22,1900-01-01 15:13:03,2127.0,Online,0.0,USA,CNP,No,No,acquirer 155,merchant 229,4722.0,No
24814,card 2267,2023-06-22,1900-01-01 12:53:58,2027.0,Magnetic Stripe,0.75,USA,CP,No,No,acquirer 6,merchant 34,7523.0,No
13701,card 2267,2023-06-24,1900-01-01 19:54:47,1282.0,Chip,212.77,USA,CP,Yes,No,acquirer 28,merchant 7,5499.0,No
81292,card 2267,2023-06-30,1900-01-01 18:04:47,2192.0,Online,58.7,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
99764,card 2267,2023-07-03,1900-01-01 08:53:15,1712.0,Online,38.92,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
53019,card 2267,2023-07-04,1900-01-01 21:29:03,1762.0,Subscription,57.66,USA,CNP,No,No,acquirer 22,merchant 7,5499.0,No
36837,card 2267,2023-07-06,1900-01-01 10:59:36,1222.0,Online,30.0,USA,CNP,No,No,acquirer 65,merchant 18,3001.0,No
37240,card 2267,2023-07-07,1900-01-01 10:00:45,1552.0,Online,72.59,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
72263,card 2267,2023-07-15,1900-01-01 14:36:38,2072.0,Online,38.37,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
5935,card 2267,2023-07-16,1900-01-01 08:08:59,2157.0,Online,20.46,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
31330,card 2267,2023-07-21,1900-01-01 19:05:12,1677.0,Postal,21.74,USA,CNP,No,No,acquirer 61,merchant 95,5399.0,No
74878,card 2267,2023-07-21,1900-01-01 07:23:00,1182.0,Online,15.0,USA,CNP,No,No,acquirer 49,merchant 401,5814.0,No
57804,card 2267,2023-07-22,1900-01-01 07:25:38,1912.0,Online,27.37,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
25328,card 2267,2023-07-23,1900-01-01 09:25:10,1647.0,Online,22.53,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
57777,card 2267,2023-07-26,1900-01-01 03:35:37,1822.0,Subscription,113.07,USA,CNP,No,No,acquirer 2,merchant 415,5499.0,No
37896,card 2267,2023-07-27,1900-01-01 07:28:49,1662.0,Chip,207.58,USA,CP,Yes,No,acquirer 28,merchant 7,5499.0,No
63685,card 2267,2023-07-28,1900-01-01 09:01:15,2937.0,Online,208.59,USA,CNP,No,No,acquirer 2,merchant 501,7349.0,No
4779,card 2267,2023-07-30,1900-01-01 09:20:39,1462.0,Online,24.76,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
47281,card 2267,2023-08-01,1900-01-01 08:33:22,1177.0,Paypass - Contactless,15.0,USA,CP,Yes,No,acquirer 29,merchant 56,8011.0,No
75460,card 2267,2023-08-04,1900-01-01 01:29:17,1742.0,Online,0.0,USA,CNP,No,No,acquirer 1,merchant 329,5816.0,No
50096,card 2267,2023-08-09,1900-01-01 21:32:37,1517.0,Online,2.86,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
86373,card 2267,2023-08-11,1900-01-01 08:48:05,2547.0,Online,63.28,USA,CNP,No,No,acquirer 388,merchant 198,5993.0,No
99019,card 2267,2023-08-12,1900-01-01 20:59:46,1237.0,Online,22.8,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
47956,card 2267,2023-08-13,1900-01-01 20:39:09,1207.0,Online,26.21,USA,CNP,No,No,acquirer 2,merchant 47,7832.0,No
67926,card 2267,2023-08-18,1900-01-01 18:52:05,1187.0,Online,0.0,USA,CNP,No,No,acquirer 218,merchant 138,5995.0,No
42519,card 2267,2023-08-19,1900-01-01 13:04:46,1037.0,Chip,26.83,USA,CP,Yes,No,acquirer 333,merchant 7,5499.0,No
57966,card 2267,2023-08-21,1900-01-01 12:06:43,1177.0,Magnetic Stripe,43.5,USA,CP,No,No,acquirer 39,merchant 28,5541.0,No
75525,card 2267,2023-08-23,1900-01-01 16:41:08,907.0,Online,58.61,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
92938,card 2267,2023-08-23,1900-01-01 11:03:12,1077.0,Online,39.84,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
51980,card 2267,2023-08-24,1900-01-01 20:59:11,827.0,Online,29.33,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
81550,card 2267,2023-08-25,1900-01-01 20:41:17,2682.0,Online,108.0,USA,CNP,No,No,acquirer 1,merchant 454,5655.0,No
27353,card 2267,2023-08-26,1900-01-01 19:26:28,1512.0,Online,23.63,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
36606,card 2267,2023-08-27,1900-01-01 08:04:41,1162.0,Online,21.0,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
12038,card 2267,2023-08-29,1900-01-01 10:49:13,767.0,Chip,50.0,USA,CP,Yes,No,acquirer 4,merchant 902,7993.0,No
11787,card 2267,2023-08-31,1900-01-01 14:50:37,2737.0,Chip,100.0,USA,CP,Yes,No,acquirer 21,merchant 51,7994.0,No
14717,card 2267,2023-09-06,1900-01-01 08:19:35,582.0,Online,22.53,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
51991,card 2267,2023-09-06,1900-01-01 07:28:38,957.0,Chip,2.0,USA,CP,Yes,No,acquirer 13,merchant 54,5814.0,No
80858,card 2267,2023-09-07,1900-01-01 08:19:13,1877.0,Online,28.1,USA,CNP,No,No,acquirer 6,merchant 498,5999.0,No
84016,card 2267,2023-09-08,1900-01-01 11:39:36,1077.0,Online,59.39,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
96424,card 2267,2023-09-17,1900-01-01 09:28:07,,Online,24.64,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
43572,card 2267,2023-09-22,1900-01-01 17:29:28,522.0,Online,50.71,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
99874,card 2267,2023-10-01,1900-01-01 10:51:31,557.0,Unknown,20.23,USA,CNP,No,No,acquirer 18,merchant 204,5814.0,No
74705,card 2267,2023-10-02,,577.0,Online,0.0,USA,CNP,No,No,acquirer 47,merchant 44,5969.0,No
32412,card 2267,2023-10-04,1900-01-01 12:32:14,657.0,Online,10.0,USA,CNP,No,No,acquirer 2,merchant 2,4121.0,No
69306,card 2267,2023-10-04,1900-01-01 14:43:13,1417.0,Online,8.0,USA,CNP,No,No,acquirer 6,merchant 17,4816.0,No
13092,card 2267,2023-10-06,1900-01-01 07:59:19,597.0,Online,52.24,USA,CNP,No,No,acquirer 18,merchant 29,8211.0,No
35701,card 2267,2023-10-06,1900-01-01 17:21:46,2337.0,Online,100.0,USA,CNP,No,No,acquirer 6,merchant 498,5999.0,No
92855,card 2267,2023-10-06,1900-01-01 12:01:03,472.0,Online,31.08,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
19729,card 2267,2023-10-07,1900-01-01 17:21:42,792.0,Paypass - Contactless,25.0,USA,CP,Yes,No,acquirer 6,merchant 52,7999.0,No
53179,card 2267,2023-10-08,1900-01-01 07:59:48,522.0,Online,0.0,USA,CNP,No,No,acquirer 6,merchant 2118,5411.0,No
39646,card 2267,2023-10-09,1900-01-01 09:25:46,327.0,Online,42.75,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
69846,card 2267,2023-10-11,1900-01-01 03:57:34,357.0,Subscription,15.98,USA,CNP,No,No,acquirer 120,merchant 217,4899.0,No
89450,card 2267,2023-10-17,1900-01-01 06:43:31,442.0,Subscription,75.0,USA,CNP,No,No,acquirer 28,merchant 56,8011.0,No
39675,card 2267,2023-10-21,1900-01-01 08:56:15,357.0,Online,27.2,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
90095,card 2267,2023-10-21,1900-01-01 16:06:45,317.0,Online,52.9,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
26478,card 2267,2023-10-27,1900-01-01 12:48:03,347.0,Online,24.13,USA,CNP,No,No,acquirer 2,merchant 9,5812.0,No
89097,card 2267,2023-11-02,1900-01-01 13:30:25,252.0,Online,19.18,USA,CNP,No,No,acquirer 18,merchant 390,5912.0,No
51194,card 2267,2023-11-03,1900-01-01 07:48:01,387.0,Chip,141.33,USA,CP,Yes,No,acquirer 28,merchant 7,5499.0,No
61639,card 2267,2023-11-03,1900-01-01 17:32:53,512.0,Online,0.0,USA,CNP,No,No,acquirer 155,merchant 229,4722.0,No
95263,card 2267,2023-11-10,1900-01-01 04:36:53,667.0,Online,23.44,USA,CNP,No,No,acquirer 1,merchant 1013,5399.0,Yes
8029,card 2372,2023-01-13,1900-01-01 16:44:32,732.0,Online,5.56,USA,CNP,No,No,acquirer 18,merchant 291,5814.0,No
37924,card 2372,2023-01-13,1900-01-01 21:36:39,257.0,PayPass - Wallet,5.49,USA,CP,Yes,No,acquirer 6,merchant 849,5411.0,No
14394,card 2372,2023-01-24,1900-01-01 19:43:00,277.0,Paypass - Contactless,7.49,USA,CP,Yes,No,acquirer 41,merchant 375,5411.0,No
27285,card 2372,2023-02-02,1900-01-01 08:32:15,1692.0,Online,147.34,USA,CNP,No,No,acquirer 26,merchant 573,5311.0,No
37923,card 2372,2023-02-10,1900-01-01 14:29:50,112.0,Paypass - Contactless,8.47,USA,CP,Yes,No,acquirer 6,merchant 849,5411.0,No
9270,card 2372,2023-02-26,1900-01-01 17:36:00,292.0,Online,1.0,USA,CNP,No,No,acquirer 306,merchant 434,5541.0,No
90702,card 2372,2023-03-04,1900-01-01 11:38:05,112.0,Paypass - Contactless,6.36,USA,CP,Yes,No,acquirer 6,merchant 46,5814.0,No
26667,card 2372,2023-03-10,1900-01-01 18:44:00,102.0,Chip,2.75,USA,CP,Yes,No,acquirer 306,merchant 434,5541.0,No
16740,card 2372,2023-03-12,1900-01-01 21:39:25,1092.0,Unknown,50.0,USA,CNP,No,No,acquirer 18,merchant 90,8220.0,No
5071,card 2372,2023-03-17,1900-01-01 16:09:57,462.0,Online,15.0,USA,CNP,No,No,acquirer 18,merchant 291,5814.0,No
84239,card 2372,2023-03-17,1900-01-01 13:41:47,252.0,Subscription,9.99,USA,CNP,No,No,acquirer 207,merchant 206,4899.0,Yes
12932,card 2372,2023-03-20,1900-01-01 14:27:00,387.0,Online,1.0,USA,CNP,No,No,acquirer 306,merchant 434,5541.0,No
53197,card 2372,2023-04-10,1900-01-01 14:51:17,197.0,Online,2.13,USA,CNP,No,No,acquirer 22,merchant 21,5691.0,No
51892,card 2372,2023-04-13,1900-01-01 14:49:50,357.0,Paypass - Contactless,3.27,USA,CP,Yes,No,acquirer 26,merchant 1,5812.0,No
28863,card 2372,2023-04-30,1900-01-01 10:19:00,797.0,Online,1.0,USA,CNP,No,No,acquirer 306,merchant 434,5541.0,No
71391,card 2400,2023-01-21,1900-01-01 02:25:31,557.0,Subscription,109.2,USA,CNP,No,No,acquirer 45,merchant 160,4814.0,No
5160,card 2400,2023-02-04,1900-01-01 22:23:12,102.0,Online,0.0,USA,CNP,No,No,acquirer 471,merchant 764,5691.0,No
98349,card 2400,2023-02-04,1900-01-01 14:34:52,747.0,Online,132.22,USA,CNP,No,No,acquirer 22,merchant 203,5712.0,No
92845,card 2400,2023-02-25,1900-01-01 18:30:47,857.0,Online,195.34,USA,CNP,No,No,acquirer 2,merchant 213,742.0,No
80929,card 2400,2023-04-20,1900-01-01 23:38:32,892.0,Subscription,30.87,USA,CNP,No,No,acquirer 6,merchant 1113,5734.0,No
97565,card 2400,2023-04-24,1900-01-01 18:05:46,342.0,Online,34.28,USA,CNP,No,No,acquirer 6,merchant 10,4900.0,No
11618,card 2400,2023-05-20,1900-01-01 22:33:32,792.0,Subscription,30.87,USA,CNP,No,No,acquirer 6,merchant 1113,5734.0,No
61224,card 2400,2023-05-21,1900-01-01 04:14:44,407.0,Subscription,108.58,USA,CNP,No,No,acquirer 45,merchant 160,4814.0,No
