,Card Identifier,Number of Transactions,Non-Fraudulent Transactions,Fraudulent Transactions,proportion_of_fraudulent_transactions
4113,card 4700,2,2.0,0.0,0.0
4112,card 470,18,18.0,0.0,0.0
4111,card 47,97,97.0,0.0,0.0
4110,card 4699,2,2.0,0.0,0.0
4108,card 4697,9,9.0,0.0,0.0
4107,card 4696,2,2.0,0.0,0.0
4106,card 4695,4,4.0,0.0,0.0
4134,card 472,30,30.0,0.0,0.0
4136,card 4721,3,3.0,0.0,0.0
4165,card 4748,9,9.0,0.0,0.0
4151,card 4735,1,1.0,0.0,0.0
4164,card 4747,2,2.0,0.0,0.0
4163,card 4746,2,2.0,0.0,0.0
4162,card 4745,2,2.0,0.0,0.0
4161,card 4744,5,5.0,0.0,0.0
4160,card 4743,2,2.0,0.0,0.0
4159,card 4742,5,5.0,0.0,0.0
4157,card 4740,2,2.0,0.0,0.0
4156,card 474,31,31.0,0.0,0.0
4155,card 4739,8,8.0,0.0,0.0
4154,card 4738,5,5.0,0.0,0.0
4153,card 4737,1,1.0,0.0,0.0
4152,card 4736,1,1.0,0.0,0.0
4150,card 4734,1,1.0,0.0,0.0
4137,card 4722,1,1.0,0.0,0.0
4149,card 4733,2,2.0,0.0,0.0
4148,card 4732,1,1.0,0.0,0.0
4147,card 4731,10,10.0,0.0,0.0
4146,card 4730,1,1.0,0.0,0.0
4145,card 473,12,12.0,0.0,0.0
4144,card 4729,2,2.0,0.0,0.0
4143,card 4728,3,3.0,0.0,0.0
4142,card 4727,11,11.0,0.0,0.0
4141,card 4726,1,1.0,0.0,0.0
4140,card 4725,12,12.0,0.0,0.0
4139,card 4724,2,2.0,0.0,0.0
4138,card 4723,9,9.0,0.0,0.0
4475,card 5026,1,1.0,0.0,0.0
4476,card 5027,1,1.0,0.0,0.0
4477,card 5028,3,3.0,0.0,0.0
4785,card 5305,4,4.0,0.0,0.0
4813,card 5330,1,1.0,0.0,0.0
4812,card 533,28,28.0,0.0,0.0
4811,card 5329,8,8.0,0.0,0.0
4810,card 5328,8,8.0,0.0,0.0
4809,card 5327,3,3.0,0.0,0.0
4808,card 5326,5,5.0,0.0,0.0
4807,card 5325,1,1.0,0.0,0.0
4806,card 5324,16,16.0,0.0,0.0
4805,card 5323,13,13.0,0.0,0.0
4804,card 5322,1,1.0,0.0,0.0
4803,card 5321,3,3.0,0.0,0.0
4802,card 5320,1,1.0,0.0,0.0
4801,card 532,10,10.0,0.0,0.0
4800,card 5319,1,1.0,0.0,0.0
4799,card 5318,1,1.0,0.0,0.0
4798,card 5317,1,1.0,0.0,0.0
4797,card 5316,5,5.0,0.0,0.0
4796,card 5315,1,1.0,0.0,0.0
4795,card 5314,1,1.0,0.0,0.0
4794,card 5313,2,2.0,0.0,0.0
4793,card 5312,1,1.0,0.0,0.0
4792,card 5311,1,1.0,0.0,0.0
4791,card 5310,1,1.0,0.0,0.0
4790,card 531,9,9.0,0.0,0.0
4789,card 5309,5,5.0,0.0,0.0
4788,card 5308,1,1.0,0.0,0.0
4787,card 5307,1,1.0,0.0,0.0
4814,card 5331,7,7.0,0.0,0.0
4815,card 5332,1,1.0,0.0,0.0
4816,card 5333,5,5.0,0.0,0.0
4831,card 5347,1,1.0,0.0,0.0
4843,card 5358,1,1.0,0.0,0.0
4842,card 5357,5,5.0,0.0,0.0
4841,card 5356,4,4.0,0.0,0.0
4840,card 5355,1,1.0,0.0,0.0
4839,card 5354,1,1.0,0.0,0.0
4838,card 5353,4,4.0,0.0,0.0
4837,card 5352,1,1.0,0.0,0.0
4836,card 5351,1,1.0,0.0,0.0
4835,card 5350,1,1.0,0.0,0.0
4834,card 535,1,1.0,0.0,0.0
4833,card 5349,2,2.0,0.0,0.0
4832,card 5348,1,1.0,0.0,0.0
4830,card 5346,2,2.0,0.0,0.0
4817,card 5334,1,1.0,0.0,0.0
4829,card 5345,3,3.0,0.0,0.0
4828,card 5344,3,3.0,0.0,0.0
4827,card 5343,1,1.0,0.0,0.0
4826,card 5342,5,5.0,0.0,0.0
4825,card 5341,3,3.0,0.0,0.0
4824,card 5340,6,6.0,0.0,0.0
4823,card 534,84,84.0,0.0,0.0
4822,card 5339,5,5.0,0.0,0.0
4821,card 5338,1,1.0,0.0,0.0
4820,card 5337,1,1.0,0.0,0.0
4819,card 5336,1,1.0,0.0,0.0
4818,card 5335,2,2.0,0.0,0.0
4786,card 5306,8,8.0,0.0,0.0
4784,card 5304,1,1.0,0.0,0.0
4478,card 5029,5,5.0,0.0,0.0
4783,card 5303,2,2.0,0.0,0.0
4752,card 5276,3,3.0,0.0,0.0
4751,card 5275,4,4.0,0.0,0.0
4750,card 5274,3,3.0,0.0,0.0
4749,card 5273,3,3.0,0.0,0.0
4748,card 5272,6,6.0,0.0,0.0
4747,card 5271,1,1.0,0.0,0.0
4746,card 5270,2,2.0,0.0,0.0
4745,card 527,21,21.0,0.0,0.0
4744,card 5269,3,3.0,0.0,0.0
4743,card 5268,1,1.0,0.0,0.0
4742,card 5267,8,8.0,0.0,0.0
4741,card 5266,4,4.0,0.0,0.0
4740,card 5265,1,1.0,0.0,0.0
4739,card 5264,3,3.0,0.0,0.0
4738,card 5263,1,1.0,0.0,0.0
4737,card 5262,1,1.0,0.0,0.0
4736,card 5261,3,3.0,0.0,0.0
4735,card 5260,2,2.0,0.0,0.0
4734,card 526,1,1.0,0.0,0.0
4733,card 5259,6,6.0,0.0,0.0
4732,card 5258,3,3.0,0.0,0.0
4730,card 5256,2,2.0,0.0,0.0
4729,card 5255,9,9.0,0.0,0.0
4728,card 5254,1,1.0,0.0,0.0
4727,card 5253,1,1.0,0.0,0.0
4726,card 5252,2,2.0,0.0,0.0
4725,card 5251,1,1.0,0.0,0.0
4753,card 5277,1,1.0,0.0,0.0
4754,card 5278,1,1.0,0.0,0.0
4755,card 5279,1,1.0,0.0,0.0
4770,card 5292,11,11.0,0.0,0.0
4782,card 5302,2,2.0,0.0,0.0
4781,card 5301,9,9.0,0.0,0.0
4780,card 5300,3,3.0,0.0,0.0
4779,card 530,106,106.0,0.0,0.0
4778,card 53,2,2.0,0.0,0.0
4777,card 5299,3,3.0,0.0,0.0
4776,card 5298,2,2.0,0.0,0.0
4775,card 5297,3,3.0,0.0,0.0
4774,card 5296,1,1.0,0.0,0.0
4773,card 5295,1,1.0,0.0,0.0
4772,card 5294,4,4.0,0.0,0.0
4771,card 5293,2,2.0,0.0,0.0
4769,card 5291,3,3.0,0.0,0.0
4756,card 528,56,56.0,0.0,0.0
4768,card 5290,2,2.0,0.0,0.0
4767,card 529,84,84.0,0.0,0.0
4766,card 5289,1,1.0,0.0,0.0
4765,card 5288,1,1.0,0.0,0.0
4764,card 5287,2,2.0,0.0,0.0
4763,card 5286,2,2.0,0.0,0.0
4762,card 5285,2,2.0,0.0,0.0
4761,card 5284,2,2.0,0.0,0.0
4760,card 5283,2,2.0,0.0,0.0
4759,card 5282,2,2.0,0.0,0.0
4758,card 5281,6,6.0,0.0,0.0
4757,card 5280,2,2.0,0.0,0.0
4844,card 5359,3,3.0,0.0,0.0
4845,card 536,2,2.0,0.0,0.0
4846,card 5360,2,2.0,0.0,0.0
4847,card 5361,2,2.0,0.0,0.0
4936,card 5441,4,4.0,0.0,0.0
4935,card 5440,7,7.0,0.0,0.0
4933,card 5439,2,2.0,0.0,0.0
4932,card 5438,2,2.0,0.0,0.0
4931,card 5437,1,1.0,0.0,0.0
4930,card 5436,1,1.0,0.0,0.0
4929,card 5435,2,2.0,0.0,0.0
4928,card 5434,2,2.0,0.0,0.0
4927,card 5433,1,1.0,0.0,0.0
4926,card 5432,1,1.0,0.0,0.0
5876,card 6288,6,6.0,0.0,0.0
4924,card 5430,1,1.0,0.0,0.0
4923,card 543,88,88.0,0.0,0.0
4922,card 5429,6,6.0,0.0,0.0
4921,card 5428,5,5.0,0.0,0.0
4920,card 5427,1,1.0,0.0,0.0
4919,card 5426,6,6.0,0.0,0.0
4918,card 5425,1,1.0,0.0,0.0
4917,card 5424,4,4.0,0.0,0.0
4916,card 5423,4,4.0,0.0,0.0
4915,card 5422,3,3.0,0.0,0.0
4914,card 5421,2,2.0,0.0,0.0
4913,card 5420,3,3.0,0.0,0.0
4912,card 542,1,1.0,0.0,0.0
4911,card 5419,7,7.0,0.0,0.0
4910,card 5418,4,4.0,0.0,0.0
4909,card 5417,1,1.0,0.0,0.0
4937,card 5442,1,1.0,0.0,0.0
4938,card 5443,3,3.0,0.0,0.0
4939,card 5444,1,1.0,0.0,0.0
4954,card 5458,1,1.0,0.0,0.0
4966,card 5469,2,2.0,0.0,0.0
4965,card 5468,1,1.0,0.0,0.0
4964,card 5467,1,1.0,0.0,0.0
4963,card 5466,1,1.0,0.0,0.0
4962,card 5465,1,1.0,0.0,0.0
4961,card 5464,3,3.0,0.0,0.0
4960,card 5463,1,1.0,0.0,0.0
4959,card 5462,2,2.0,0.0,0.0
4958,card 5461,1,1.0,0.0,0.0
4957,card 5460,2,2.0,0.0,0.0
4956,card 546,134,134.0,0.0,0.0
4955,card 5459,4,4.0,0.0,0.0
4953,card 5457,2,2.0,0.0,0.0
4940,card 5445,2,2.0,0.0,0.0
4952,card 5456,2,2.0,0.0,0.0
4951,card 5455,3,3.0,0.0,0.0
4950,card 5454,2,2.0,0.0,0.0
4949,card 5453,3,3.0,0.0,0.0
4948,card 5452,1,1.0,0.0,0.0
4947,card 5451,2,2.0,0.0,0.0
4946,card 5450,4,4.0,0.0,0.0
4945,card 545,101,101.0,0.0,0.0
4944,card 5449,5,5.0,0.0,0.0
4943,card 5448,6,6.0,0.0,0.0
4942,card 5447,1,1.0,0.0,0.0
4941,card 5446,3,3.0,0.0,0.0
4908,card 5416,1,1.0,0.0,0.0
4907,card 5415,4,4.0,0.0,0.0
4906,card 5414,2,2.0,0.0,0.0
4862,card 5375,1,1.0,0.0,0.0
4874,card 5386,1,1.0,0.0,0.0
4873,card 5385,3,3.0,0.0,0.0
4872,card 5384,2,2.0,0.0,0.0
4871,card 5383,3,3.0,0.0,0.0
4870,card 5382,10,10.0,0.0,0.0
4869,card 5381,7,7.0,0.0,0.0
4868,card 5380,1,1.0,0.0,0.0
4867,card 538,19,19.0,0.0,0.0
4866,card 5379,6,6.0,0.0,0.0
4865,card 5378,4,4.0,0.0,0.0
4864,card 5377,2,2.0,0.0,0.0
4863,card 5376,1,1.0,0.0,0.0
4861,card 5374,1,1.0,0.0,0.0
4876,card 5388,1,1.0,0.0,0.0
4860,card 5373,1,1.0,0.0,0.0
4858,card 5371,4,4.0,0.0,0.0
4857,card 5370,3,3.0,0.0,0.0
4856,card 537,19,19.0,0.0,0.0
4855,card 5369,1,1.0,0.0,0.0
4854,card 5368,1,1.0,0.0,0.0
4853,card 5367,2,2.0,0.0,0.0
4852,card 5366,3,3.0,0.0,0.0
4851,card 5365,1,1.0,0.0,0.0
4850,card 5364,4,4.0,0.0,0.0
4849,card 5363,3,3.0,0.0,0.0
4848,card 5362,4,4.0,0.0,0.0
4875,card 5387,2,2.0,0.0,0.0
4877,card 5389,1,1.0,0.0,0.0
4905,card 5413,4,4.0,0.0,0.0
4892,card 5401,8,8.0,0.0,0.0
4904,card 5412,2,2.0,0.0,0.0
4903,card 5411,5,5.0,0.0,0.0
4902,card 5410,1,1.0,0.0,0.0
4901,card 541,22,22.0,0.0,0.0
4900,card 5409,1,1.0,0.0,0.0
4899,card 5408,2,2.0,0.0,0.0
4898,card 5407,1,1.0,0.0,0.0
4897,card 5406,3,3.0,0.0,0.0
4896,card 5405,2,2.0,0.0,0.0
4895,card 5404,1,1.0,0.0,0.0
4894,card 5403,4,4.0,0.0,0.0
4893,card 5402,6,6.0,0.0,0.0
4891,card 5400,1,1.0,0.0,0.0
4878,card 539,75,75.0,0.0,0.0
4890,card 540,63,63.0,0.0,0.0
4889,card 54,6,6.0,0.0,0.0
4888,card 5399,1,1.0,0.0,0.0
4887,card 5398,5,5.0,0.0,0.0
4886,card 5397,3,3.0,0.0,0.0
4885,card 5396,1,1.0,0.0,0.0
4884,card 5395,1,1.0,0.0,0.0
4883,card 5394,2,2.0,0.0,0.0
4882,card 5393,1,1.0,0.0,0.0
4881,card 5392,1,1.0,0.0,0.0
4880,card 5391,6,6.0,0.0,0.0
4879,card 5390,2,2.0,0.0,0.0
4724,card 5250,1,1.0,0.0,0.0
4723,card 525,11,11.0,0.0,0.0
4722,card 5249,1,1.0,0.0,0.0
4598,card 5137,5,5.0,0.0,0.0
4566,card 5108,2,2.0,0.0,0.0
4565,card 5107,6,6.0,0.0,0.0
4564,card 5106,2,2.0,0.0,0.0
4563,card 5105,1,1.0,0.0,0.0
4562,card 5104,2,2.0,0.0,0.0
4561,card 5103,1,1.0,0.0,0.0
4560,card 5102,1,1.0,0.0,0.0
4559,card 5101,2,2.0,0.0,0.0
4558,card 5100,1,1.0,0.0,0.0
4557,card 510,12,12.0,0.0,0.0
4556,card 51,39,39.0,0.0,0.0
4555,card 5099,2,2.0,0.0,0.0
4554,card 5098,2,2.0,0.0,0.0
4553,card 5097,2,2.0,0.0,0.0
4552,card 5096,2,2.0,0.0,0.0
4551,card 5095,12,12.0,0.0,0.0
4550,card 5094,3,3.0,0.0,0.0
4549,card 5093,4,4.0,0.0,0.0
4548,card 5092,8,8.0,0.0,0.0
4547,card 5091,1,1.0,0.0,0.0
4546,card 5090,2,2.0,0.0,0.0
4545,card 509,166,166.0,0.0,0.0
4544,card 5089,2,2.0,0.0,0.0
4543,card 5088,1,1.0,0.0,0.0
4542,card 5087,1,1.0,0.0,0.0
4541,card 5086,2,2.0,0.0,0.0
4540,card 5085,1,1.0,0.0,0.0
4567,card 5109,8,8.0,0.0,0.0
4568,card 511,3,3.0,0.0,0.0
4569,card 5110,1,1.0,0.0,0.0
4584,card 5124,1,1.0,0.0,0.0
4596,card 5135,1,1.0,0.0,0.0
4595,card 5134,1,1.0,0.0,0.0
4594,card 5133,1,1.0,0.0,0.0
4593,card 5132,5,5.0,0.0,0.0
4592,card 5131,7,7.0,0.0,0.0
4591,card 5130,1,1.0,0.0,0.0
4590,card 513,7,7.0,0.0,0.0
4589,card 5129,1,1.0,0.0,0.0
4588,card 5128,3,3.0,0.0,0.0
4587,card 5127,1,1.0,0.0,0.0
4586,card 5126,2,2.0,0.0,0.0
4585,card 5125,3,3.0,0.0,0.0
4583,card 5123,6,6.0,0.0,0.0
4570,card 5111,2,2.0,0.0,0.0
4582,card 5122,2,2.0,0.0,0.0
4581,card 5121,3,3.0,0.0,0.0
4580,card 5120,1,1.0,0.0,0.0
4579,card 512,33,33.0,0.0,0.0
4578,card 5119,1,1.0,0.0,0.0
4577,card 5118,1,1.0,0.0,0.0
4576,card 5117,1,1.0,0.0,0.0
4575,card 5116,8,8.0,0.0,0.0
4574,card 5115,3,3.0,0.0,0.0
4573,card 5114,1,1.0,0.0,0.0
4572,card 5113,3,3.0,0.0,0.0
4571,card 5112,3,3.0,0.0,0.0
4539,card 5084,12,12.0,0.0,0.0
4538,card 5083,3,3.0,0.0,0.0
4537,card 5082,1,1.0,0.0,0.0
4492,card 5041,5,5.0,0.0,0.0
4504,card 5052,2,2.0,0.0,0.0
4503,card 5051,2,2.0,0.0,0.0
4502,card 5050,7,7.0,0.0,0.0
4501,card 505,17,17.0,0.0,0.0
4500,card 5049,8,8.0,0.0,0.0
4499,card 5048,2,2.0,0.0,0.0
4498,card 5047,4,4.0,0.0,0.0
4497,card 5046,5,5.0,0.0,0.0
4496,card 5045,4,4.0,0.0,0.0
4495,card 5044,2,2.0,0.0,0.0
4494,card 5043,1,1.0,0.0,0.0
4493,card 5042,13,13.0,0.0,0.0
4491,card 5040,8,8.0,0.0,0.0
4506,card 5054,2,2.0,0.0,0.0
4490,card 504,33,33.0,0.0,0.0
4489,card 5039,5,5.0,0.0,0.0
4488,card 5038,2,2.0,0.0,0.0
4487,card 5037,1,1.0,0.0,0.0
4486,card 5036,3,3.0,0.0,0.0
4485,card 5035,6,6.0,0.0,0.0
4484,card 5034,1,1.0,0.0,0.0
4483,card 5033,4,4.0,0.0,0.0
4482,card 5032,4,4.0,0.0,0.0
4481,card 5031,6,6.0,0.0,0.0
4480,card 5030,5,5.0,0.0,0.0
4479,card 503,81,81.0,0.0,0.0
4505,card 5053,4,4.0,0.0,0.0
4507,card 5055,3,3.0,0.0,0.0
4536,card 5081,4,4.0,0.0,0.0
4523,card 507,52,52.0,0.0,0.0
4535,card 5080,3,3.0,0.0,0.0
4534,card 508,19,19.0,0.0,0.0
4533,card 5079,1,1.0,0.0,0.0
4532,card 5078,3,3.0,0.0,0.0
4531,card 5077,8,8.0,0.0,0.0
4530,card 5076,2,2.0,0.0,0.0
4529,card 5075,8,8.0,0.0,0.0
4528,card 5074,1,1.0,0.0,0.0
4527,card 5073,2,2.0,0.0,0.0
4526,card 5072,3,3.0,0.0,0.0
4525,card 5071,4,4.0,0.0,0.0
4524,card 5070,3,3.0,0.0,0.0
4522,card 5069,6,6.0,0.0,0.0
4508,card 5056,4,4.0,0.0,0.0
4521,card 5068,2,2.0,0.0,0.0
4520,card 5067,4,4.0,0.0,0.0
4519,card 5066,3,3.0,0.0,0.0
4518,card 5065,1,1.0,0.0,0.0
4517,card 5064,3,3.0,0.0,0.0
4516,card 5063,9,9.0,0.0,0.0
4515,card 5062,4,4.0,0.0,0.0
4513,card 5060,6,6.0,0.0,0.0
4512,card 506,100,100.0,0.0,0.0
4511,card 5059,2,2.0,0.0,0.0
4510,card 5058,3,3.0,0.0,0.0
4509,card 5057,1,1.0,0.0,0.0
4597,card 5136,1,1.0,0.0,0.0
4599,card 5138,10,10.0,0.0,0.0
4721,card 5248,5,5.0,0.0,0.0
4600,card 5139,9,9.0,0.0,0.0
4689,card 5219,2,2.0,0.0,0.0
4688,card 5218,3,3.0,0.0,0.0
4687,card 5217,6,6.0,0.0,0.0
4686,card 5216,4,4.0,0.0,0.0
4685,card 5215,6,6.0,0.0,0.0
4684,card 5214,2,2.0,0.0,0.0
4683,card 5213,7,7.0,0.0,0.0
4682,card 5212,3,3.0,0.0,0.0
4681,card 5211,2,2.0,0.0,0.0
4680,card 5210,6,6.0,0.0,0.0
4679,card 521,40,40.0,0.0,0.0
4678,card 5209,4,4.0,0.0,0.0
4677,card 5208,1,1.0,0.0,0.0
4676,card 5207,2,2.0,0.0,0.0
4675,card 5206,1,1.0,0.0,0.0
4674,card 5205,1,1.0,0.0,0.0
4673,card 5204,5,5.0,0.0,0.0
4672,card 5203,1,1.0,0.0,0.0
4671,card 5202,4,4.0,0.0,0.0
4669,card 5200,3,3.0,0.0,0.0
4668,card 520,27,27.0,0.0,0.0
4667,card 52,266,266.0,0.0,0.0
4666,card 5199,6,6.0,0.0,0.0
4665,card 5198,1,1.0,0.0,0.0
4664,card 5197,1,1.0,0.0,0.0
4663,card 5196,2,2.0,0.0,0.0
4662,card 5195,2,2.0,0.0,0.0
4690,card 522,105,105.0,0.0,0.0
4691,card 5220,3,3.0,0.0,0.0
4692,card 5221,1,1.0,0.0,0.0
4707,card 5235,1,1.0,0.0,0.0
4720,card 5247,5,5.0,0.0,0.0
4719,card 5246,1,1.0,0.0,0.0
4718,card 5245,3,3.0,0.0,0.0
4717,card 5244,1,1.0,0.0,0.0
4716,card 5243,3,3.0,0.0,0.0
4715,card 5242,1,1.0,0.0,0.0
4714,card 5241,1,1.0,0.0,0.0
4713,card 5240,6,6.0,0.0,0.0
4711,card 5239,3,3.0,0.0,0.0
4710,card 5238,4,4.0,0.0,0.0
4709,card 5237,4,4.0,0.0,0.0
4708,card 5236,4,4.0,0.0,0.0
4706,card 5234,2,2.0,0.0,0.0
4693,card 5222,2,2.0,0.0,0.0
4705,card 5233,1,1.0,0.0,0.0
4704,card 5232,6,6.0,0.0,0.0
4703,card 5231,1,1.0,0.0,0.0
4702,card 5230,1,1.0,0.0,0.0
4701,card 523,74,74.0,0.0,0.0
4700,card 5229,1,1.0,0.0,0.0
4699,card 5228,1,1.0,0.0,0.0
4698,card 5227,1,1.0,0.0,0.0
4697,card 5226,1,1.0,0.0,0.0
4696,card 5225,12,12.0,0.0,0.0
4695,card 5224,4,4.0,0.0,0.0
4694,card 5223,4,4.0,0.0,0.0
4661,card 5194,4,4.0,0.0,0.0
4660,card 5193,1,1.0,0.0,0.0
4659,card 5192,2,2.0,0.0,0.0
4614,card 5151,1,1.0,0.0,0.0
4627,card 5163,4,4.0,0.0,0.0
4626,card 5162,1,1.0,0.0,0.0
4625,card 5161,4,4.0,0.0,0.0
4624,card 5160,6,6.0,0.0,0.0
4623,card 516,72,72.0,0.0,0.0
4621,card 5158,2,2.0,0.0,0.0
4620,card 5157,2,2.0,0.0,0.0
4619,card 5156,2,2.0,0.0,0.0
4618,card 5155,2,2.0,0.0,0.0
4617,card 5154,1,1.0,0.0,0.0
4616,card 5153,2,2.0,0.0,0.0
4615,card 5152,5,5.0,0.0,0.0
4613,card 5150,1,1.0,0.0,0.0
4629,card 5165,2,2.0,0.0,0.0
4612,card 515,41,41.0,0.0,0.0
4611,card 5149,1,1.0,0.0,0.0
4610,card 5148,2,2.0,0.0,0.0
4609,card 5147,1,1.0,0.0,0.0
4608,card 5146,6,6.0,0.0,0.0
4607,card 5145,2,2.0,0.0,0.0
4606,card 5144,2,2.0,0.0,0.0
4605,card 5143,8,8.0,0.0,0.0
4604,card 5142,4,4.0,0.0,0.0
4603,card 5141,5,5.0,0.0,0.0
4602,card 5140,8,8.0,0.0,0.0
4601,card 514,3,3.0,0.0,0.0
4628,card 5164,1,1.0,0.0,0.0
4630,card 5166,9,9.0,0.0,0.0
4658,card 5191,1,1.0,0.0,0.0
4645,card 518,15,15.0,0.0,0.0
4657,card 5190,6,6.0,0.0,0.0
4656,card 519,9,9.0,0.0,0.0
4655,card 5189,1,1.0,0.0,0.0
4654,card 5188,3,3.0,0.0,0.0
4653,card 5187,1,1.0,0.0,0.0
4652,card 5186,5,5.0,0.0,0.0
4651,card 5185,9,9.0,0.0,0.0
4650,card 5184,10,10.0,0.0,0.0
4649,card 5183,7,7.0,0.0,0.0
4648,card 5182,2,2.0,0.0,0.0
4647,card 5181,5,5.0,0.0,0.0
4646,card 5180,1,1.0,0.0,0.0
4644,card 5179,7,7.0,0.0,0.0
4631,card 5167,14,14.0,0.0,0.0
4643,card 5178,7,7.0,0.0,0.0
4642,card 5177,10,10.0,0.0,0.0
4641,card 5176,10,10.0,0.0,0.0
4640,card 5175,5,5.0,0.0,0.0
4639,card 5174,3,3.0,0.0,0.0
4638,card 5173,3,3.0,0.0,0.0
4637,card 5172,8,8.0,0.0,0.0
4636,card 5171,1,1.0,0.0,0.0
4635,card 5170,2,2.0,0.0,0.0
4634,card 517,35,35.0,0.0,0.0
4633,card 5169,1,1.0,0.0,0.0
4632,card 5168,2,2.0,0.0,0.0
5875,card 6287,2,2.0,0.0,0.0
5925,card 6331,3,3.0,0.0,0.0
5877,card 6289,1,1.0,0.0,0.0
7185,card 7466,3,3.0,0.0,0.0
7215,card 7493,1,1.0,0.0,0.0
7214,card 7492,1,1.0,0.0,0.0
7213,card 7491,1,1.0,0.0,0.0
7212,card 7490,1,1.0,0.0,0.0
7211,card 749,53,53.0,0.0,0.0
7210,card 7489,1,1.0,0.0,0.0
7209,card 7488,2,2.0,0.0,0.0
7208,card 7487,1,1.0,0.0,0.0
7207,card 7486,1,1.0,0.0,0.0
7206,card 7485,1,1.0,0.0,0.0
7205,card 7484,1,1.0,0.0,0.0
7204,card 7483,1,1.0,0.0,0.0
7203,card 7482,1,1.0,0.0,0.0
7202,card 7481,1,1.0,0.0,0.0
7200,card 748,1,1.0,0.0,0.0
7199,card 7479,1,1.0,0.0,0.0
7198,card 7478,1,1.0,0.0,0.0
7197,card 7477,1,1.0,0.0,0.0
7196,card 7476,1,1.0,0.0,0.0
7195,card 7475,1,1.0,0.0,0.0
7194,card 7474,3,3.0,0.0,0.0
7192,card 7472,1,1.0,0.0,0.0
7191,card 7471,1,1.0,0.0,0.0
7190,card 7470,1,1.0,0.0,0.0
7189,card 747,2,2.0,0.0,0.0
7188,card 7469,1,1.0,0.0,0.0
7187,card 7468,1,1.0,0.0,0.0
7216,card 7494,1,1.0,0.0,0.0
7217,card 7495,2,2.0,0.0,0.0
7218,card 7496,1,1.0,0.0,0.0
7233,card 7509,1,1.0,0.0,0.0
7245,card 752,9,9.0,0.0,0.0
7244,card 7519,1,1.0,0.0,0.0
7243,card 7518,1,1.0,0.0,0.0
7242,card 7517,1,1.0,0.0,0.0
7241,card 7516,1,1.0,0.0,0.0
7240,card 7515,1,1.0,0.0,0.0
7239,card 7514,1,1.0,0.0,0.0
7238,card 7513,1,1.0,0.0,0.0
7237,card 7512,2,2.0,0.0,0.0
7236,card 7511,1,1.0,0.0,0.0
7235,card 7510,1,1.0,0.0,0.0
7234,card 751,44,44.0,0.0,0.0
7232,card 7508,1,1.0,0.0,0.0
7219,card 7497,1,1.0,0.0,0.0
7231,card 7507,1,1.0,0.0,0.0
7230,card 7506,1,1.0,0.0,0.0
7229,card 7505,1,1.0,0.0,0.0
7228,card 7504,1,1.0,0.0,0.0
7227,card 7503,1,1.0,0.0,0.0
7226,card 7502,1,1.0,0.0,0.0
7225,card 7501,1,1.0,0.0,0.0
7224,card 7500,2,2.0,0.0,0.0
7223,card 750,49,49.0,0.0,0.0
7222,card 75,15,15.0,0.0,0.0
7221,card 7499,1,1.0,0.0,0.0
7220,card 7498,1,1.0,0.0,0.0
7186,card 7467,1,1.0,0.0,0.0
7184,card 7465,2,2.0,0.0,0.0
7123,card 741,92,92.0,0.0,0.0
7183,card 7464,1,1.0,0.0,0.0
7151,card 7435,1,1.0,0.0,0.0
7150,card 7434,1,1.0,0.0,0.0
7149,card 7433,1,1.0,0.0,0.0
7148,card 7432,1,1.0,0.0,0.0
7147,card 7431,1,1.0,0.0,0.0
7146,card 7430,1,1.0,0.0,0.0
7145,card 743,22,22.0,0.0,0.0
7144,card 7429,1,1.0,0.0,0.0
7143,card 7428,3,3.0,0.0,0.0
7142,card 7427,1,1.0,0.0,0.0
7141,card 7426,2,2.0,0.0,0.0
7140,card 7425,1,1.0,0.0,0.0
7139,card 7424,1,1.0,0.0,0.0
7138,card 7423,1,1.0,0.0,0.0
7137,card 7422,1,1.0,0.0,0.0
7136,card 7421,1,1.0,0.0,0.0
7135,card 7420,2,2.0,0.0,0.0
7134,card 742,101,101.0,0.0,0.0
7133,card 7419,1,1.0,0.0,0.0
7132,card 7418,2,2.0,0.0,0.0
7131,card 7417,1,1.0,0.0,0.0
7130,card 7416,1,1.0,0.0,0.0
7129,card 7415,1,1.0,0.0,0.0
7128,card 7414,1,1.0,0.0,0.0
7127,card 7413,1,1.0,0.0,0.0
7126,card 7412,2,2.0,0.0,0.0
7125,card 7411,1,1.0,0.0,0.0
7152,card 7436,2,2.0,0.0,0.0
7153,card 7437,1,1.0,0.0,0.0
7154,card 7438,2,2.0,0.0,0.0
7169,card 7451,1,1.0,0.0,0.0
7182,card 7463,1,1.0,0.0,0.0
7181,card 7462,1,1.0,0.0,0.0
7180,card 7461,1,1.0,0.0,0.0
7179,card 7460,2,2.0,0.0,0.0
7178,card 746,5,5.0,0.0,0.0
7177,card 7459,1,1.0,0.0,0.0
7176,card 7458,1,1.0,0.0,0.0
7175,card 7457,1,1.0,0.0,0.0
7174,card 7456,1,1.0,0.0,0.0
7172,card 7454,2,2.0,0.0,0.0
7171,card 7453,2,2.0,0.0,0.0
7170,card 7452,1,1.0,0.0,0.0
7168,card 7450,1,1.0,0.0,0.0
7155,card 7439,3,3.0,0.0,0.0
7167,card 745,10,10.0,0.0,0.0
7166,card 7449,1,1.0,0.0,0.0
7165,card 7448,1,1.0,0.0,0.0
7164,card 7447,1,1.0,0.0,0.0
